,Player,Points
 JNCO JEAN GENIE ,Mike Davis,14.9
Sausage Brainᴿᴰ,Kenyan Drake,14.0
The Brussell Wilson Sprouts,James Conner,11.4
Landslide lets  Russell Cook ,Nick Chubb,11.4
Inhumane Texan Koch’n,Alvin Kamara,10.5
RIGGED PLAYOFFS!!,Leonard Fournette,9.1
INTERGALACTIC SEX-MEN ᴿᴰ,Miles Sanders,7.6
Dumpster Juice,Derrick Henry,37.5
Big Maliggy Style,Antonio Gibson,34.1
Landslide lets  Russell Cook ,Nick Chubb,25.1
Sausage Brainᴿᴰ,Kenyan Drake,22.8
The Brussell Wilson Sprouts,Chris Carson,12.9
Attorney Generals,Aaron Jones,9.5
 JNCO JEAN GENIE ,Mike Davis,9.4
Tub Girl's Tub Scrubbers,Dalvin Cook,8.2
INTERGALACTIC SEX-MEN ᴿᴰ,Zack Moss,7.8
Inhumane Texan Koch’n,Alvin Kamara,5.7
RIGGED PLAYOFFS!!,Leonard Fournette,3.5
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,2.4
Attorney Generals,Aaron Jones,22.3
RIGGED PLAYOFFS!!,Jonathan Taylor,21.0
Tub Girl's Tub Scrubbers,Dalvin Cook,20.9
The Brussell Wilson Sprouts,Chris Carson,18.5
Landslide lets  Russell Cook ,Nick Chubb,17.1
Inhumane Texan Koch’n,Alvin Kamara,16.7
 JNCO JEAN GENIE ,Melvin Gordon III,14.7
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,11.5
Dumpster Juice,David Johnson,10.4
Sausage Brainᴿᴰ,Raheem Mostert,4.8
INTERGALACTIC SEX-MEN ᴿᴰ,Miles Sanders,3.1
Big Maliggy Style,Antonio Gibson,1.4
