,Player,Points
Sausage Brainᴿᴰ,Jared Goff,10.48
Landslide lets  Russell Cook ,Russell Wilson,9.92
Attorney Generals,Derek Carr,7.16
The Brussell Wilson Sprouts,Drew Brees,6.94
Big Maliggy Style,Justin Herbert,27.74
Attorney Generals,Kirk Cousins,22.96
 JNCO JEAN GENIE ,Aaron Rodgers,21.74
The Brussell Wilson Sprouts,Patrick Mahomes,21.52
Thigpen's Awakening ᴿᴰ,Kyler Murray,20.26
Landslide lets  Russell Cook ,Russell Wilson,20.08
INTERGALACTIC SEX-MEN ᴿᴰ,Cam Newton,19.2
RIGGED PLAYOFFS!!,Ben Roethlisberger,16.68
Dumpster Juice,Tom Brady,12.64
Sausage Brainᴿᴰ,Joe Burrow,11.32
Inhumane Texan Koch’n,Matthew Stafford,7.62
Tub Girl's Tub Scrubbers,Matt Ryan,5.28
 JNCO JEAN GENIE ,Deshaun Watson,33.12
The Brussell Wilson Sprouts,Patrick Mahomes,31.28
Dumpster Juice,Tom Brady,21.7
RIGGED PLAYOFFS!!,Ryan Fitzpatrick,19.28
Attorney Generals,Taysom Hill,17.52
Big Maliggy Style,Justin Herbert,16.44
Inhumane Texan Koch’n,Josh Allen,15.48
Landslide lets  Russell Cook ,Russell Wilson,14.4
Tub Girl's Tub Scrubbers,Matt Ryan,13.9
Thigpen's Awakening ᴿᴰ,Kyler Murray,7.9
INTERGALACTIC SEX-MEN ᴿᴰ,Cam Newton,3.96
Sausage Brainᴿᴰ,Jared Goff,3.02
Inhumane Texan Koch’n,Josh Allen,30.1
INTERGALACTIC SEX-MEN ᴿᴰ,Ryan Tannehill,27.56
Sausage Brainᴿᴰ,Jared Goff,24.14
Attorney Generals,Taysom Hill,23.58
 JNCO JEAN GENIE ,Aaron Rodgers,23.5
Dumpster Juice,Kirk Cousins,21.4
The Brussell Wilson Sprouts,Patrick Mahomes,19.32
RIGGED PLAYOFFS!!,Ben Roethlisberger,18.2
Thigpen's Awakening ᴿᴰ,Kyler Murray,16.42
Landslide lets  Russell Cook ,Russell Wilson,15.02
Tub Girl's Tub Scrubbers,Matt Ryan,12.92
Big Maliggy Style,Justin Herbert,4.36
