Team ID,Owner,Team Name,Week,Matchup_ID,Home/Away,Division,Wins,Losses,Ties,Record (season),Total pts (season),Cumulative points,Points for (week),Plus/Minus,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,,BE
8,Worth Least,Seven Round Mock Draught,4,4,Home,Lager,3,1,0,(3-2-0),636.74,497.48,155.72,66.46,"['Josh Allen', 'QB', 23.52]","['Alvin Kamara', 'RB', 0.0]","['Josh Jacobs', 'RB', 32.0]","['Davante Adams', 'WR', 15.0]","['Mike Evans', 'WR', 26.3]","['T.J. Hockenson', 'TE', 35.9]","['Chase Edmonds', 'RB/WR/TE', 9.0]","['Vikings D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['Michael Thomas', 'BE', 0.0], ['Kenneth Walker III', 'BE', 2.9], ['Chase Claypool', 'BE', 0.0], ['Buccaneers D/ST', 'BE', 2.0], ['Marquez Valdes-Scantling', 'BE', 7.8], ['Darrell Henderson Jr.', 'BE', 5.4], ['Devin Duvernay', 'BE', 8.1]]"
12,James G,Trappist Freiermuth 88,4,4,Away,Lager,3,1,0,(4-1-0),641.9599999999999,503.79999999999995,89.26,-66.46,"['Jalen Hurts', 'QB', 15.96]","['Saquon Barkley', 'RB', 17.2]","['Mark Ingram II', 'RB', 5.8]","['Gabe Davis', 'WR', 1.8]","['Christian Kirk', 'WR', 7.3]","['Mark Andrews', 'TE', 2.5]","['Travis Kelce', 'RB/WR/TE', 19.7]","['Packers D/ST', 'D/ST', 8.0]","['empty', '', 0.0]","[[""D'Andre Swift"", 'BE', 0.0], ['Rachaad White', 'BE', 14.1], ['Jakobi Meyers', 'BE', 0.0], ['Nyheim Hines', 'BE', 1.3], ['Michael Gallup', 'BE', 9.4], [""Wan'Dale Robinson"", 'BE', 0.0], ['Rex Burkhead', 'BE', 12.4]]"
10,Zack Alexander,Russel Wilson Rauchbier,4,5,Home,Lager,1,3,0,(1-4-0),435.76,356.32,107.12,-11.780000000000001,"['Derek Carr', 'QB', 11.52]","['Jonathan Taylor', 'RB', 2.8]","['Dameon Pierce', 'RB', 22.9]","['Tee Higgins', 'WR', 21.9]","['Garrett Wilson', 'WR', 5.1]","['Tyler Higbee', 'TE', 12.3]","['Khalil Herbert', 'RB/WR/TE', 10.6]","['Giants D/ST', 'D/ST', 15.0]","['empty', '', 0.0]","[['DJ Moore', 'BE', 9.1], ['Travis Etienne Jr.', 'BE', 3.2], ['Allen Lazard', 'BE', 14.6], ['Isiah Pacheco', 'BE', 9.3], ['Jahan Dotson', 'BE', 11.8], ['Zay Jones', 'BE', 0.0], ['Tyler Conklin', 'BE', 6.7]]"
21,Thomas G,Barrel-aged Tom Brady,4,5,Away,Lager,2,2,0,(2-3-0),455.09999999999997,380.28,118.9,11.780000000000001,"['Justin Herbert', 'QB', 21.1]","['Devin Singletary', 'RB', 9.6]","['Rashaad Penny', 'RB', 28.2]","['Tyreek Hill', 'WR', 20.9]","['Brandin Cooks', 'WR', 15.2]","['Kyle Pitts', 'TE', 3.0]","['Jaylen Waddle', 'RB/WR/TE', 4.9]","['Saints D/ST', 'D/ST', 5.0]","['empty', '', 0.0]","[['Cam Akers', 'BE', 1.3], ['David Montgomery', 'BE', 0.0], ['Terry McLaurin', 'BE', 2.5], ['Hunter Renfrow', 'BE', 0.0], ['Michael Carter', 'BE', 3.9], ['David Njoku', 'BE', 7.2], ['Marcus Mariota', 'BE', 3.86]]"
15,Eric Ruth,Pliny the Younghoe Koo,5,0,Home,Ale,2,3,0,(2-3-0),416.34000000000003,416.34000000000003,96.32,4.11999999999999,"['Teddy Bridgewater', 'QB', 0.0]","['Kareem Hunt', 'RB', 13.2]","['Jamaal Williams', 'RB', 5.6]","['Justin Jefferson', 'WR', 24.32]","['CeeDee Lamb', 'WR', 7.8]","['Robert Tonyan', 'TE', 4.3]","['Amari Cooper', 'RB/WR/TE', 17.1]","['Rams D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['Allen Robinson II', 'BE', 2.7], ['Jaylen Warren', 'BE', 8.3], ['Eno Benjamin', 'BE', 12.8], ['Tua Tagovailoa', 'BE', 0.0], ['Chargers D/ST', 'BE', -1.0], ['Deshaun Watson', 'BE', 0.0], ['Josh Reynolds', 'BE', 12.2]]"
18,Christopher Bea,Saison Barley,5,0,Away,Ale,2,3,0,(2-3-0),528.64,528.64,92.2,-4.11999999999999,"['Kyler Murray', 'QB', 16.2]","['Christian McCaffrey', 'RB', 19.9]","['J.K. Dobbins', 'RB', 4.4]","['Mike Williams', 'WR', 18.4]","['Chris Godwin', 'WR', 9.3]","['Hayden Hurst', 'TE', 14.3]","['A.J. Brown', 'RB/WR/TE', 4.7]","['Dolphins D/ST', 'D/ST', 2.0]","['empty', '', 0.0]","[['Tony Pollard', 'BE', 14.6], ['Amon-Ra St. Brown', 'BE', 3.8], ['Dawson Knox', 'BE', 0.0], ['Brandon Aiyuk', 'BE', 7.3], ['Elijah Moore', 'BE', 1.6], ['J.D. McKissic', 'BE', 6.2], ['Romeo Doubs', 'BE', 4.4]]"
19,Grant R.,TRIPPEL OPTION,5,1,Home,Ale,3,2,0,(3-2-0),495.06,495.06,98.36,-21.700000000000003,"['Russell Wilson', 'QB', 9.16]","['Leonard Fournette', 'RB', 30.9]","['Miles Sanders', 'RB', 7.4]","[""Ja'Marr Chase"", 'WR', 8.5]","['Drake London', 'WR', 5.5]","['Evan Engram', 'TE', 9.9]","['Clyde Edwards-Helaire', 'RB/WR/TE', 5.0]","['Cowboys D/ST', 'D/ST', 22.0]","['empty', '', 0.0]","[['Michael Pittman Jr.', 'BE', 8.4], ['Breece Hall', 'BE', 26.7], ['Darnell Mooney', 'BE', 6.2], ['Mecole Hardman', 'BE', 10.0], ['George Pickens', 'BE', 11.3], ['Trevor Lawrence', 'BE', 10.34], ['Isaiah Likely', 'BE', 1.7]]"
20,Nick Carter,HE GOT THAT DOG LAGER,5,1,Away,Ale,5,0,0,(5-0-0),599.0799999999999,599.0799999999999,120.06,21.700000000000003,"['Lamar Jackson', 'QB', 14.76]","['Aaron Jones', 'RB', 9.0]","['Nick Chubb', 'RB', 25.4]","['DK Metcalf', 'WR', 15.3]","['Courtland Sutton', 'WR', 9.9]","['Zach Ertz', 'TE', 7.8]","['Tyler Lockett', 'RB/WR/TE', 24.9]","['Eagles D/ST', 'D/ST', 3.0]","['empty', '', 0.0]","[['Diontae Johnson', 'BE', 8.5], ['JuJu Smith-Schuster', 'BE', 4.8], ['AJ Dillon', 'BE', 3.4], ['Rondale Moore', 'BE', 9.6], ['Tom Brady', 'BE', 19.74], ['Isaiah McKenzie', 'BE', 0.0], ['Patriots D/ST', 'BE', 17.0]]"
6,Matt Fortress,Indianapolis Kölsch,5,2,Home,Ale,2,3,0,(2-3-0),550.04,550.04,122.28,31.92,"['Joe Burrow', 'QB', 17.28]","['Austin Ekeler', 'RB', 33.9]","['Joe Mixon', 'RB', 10.3]","['Stefon Diggs', 'WR', 20.2]","['Chris Olave', 'WR', 13.4]","['Gerald Everett', 'TE', 0.7]","['Rhamondre Stevenson', 'RB/WR/TE', 18.5]","['Jaguars D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['Rashod Bateman', 'BE', 0.0], ['Dalton Schultz', 'BE', 0.0], ['Robert Woods', 'BE', 5.7], ['Brian Robinson', 'BE', 2.2], ['Tyler Boyd', 'BE', 4.7], ['DJ Chark', 'BE', 0.0], ['Jameson Williams', 'BE', 0.0]]"
13,K Hart,Alex Smith's Mangled Leg,5,2,Away,Ale,1,4,0,(1-4-0),427.14,427.14,90.36,-31.92,"['Jared Goff', 'QB', 5.86]","['Najee Harris', 'RB', 5.1]","['Dalvin Cook', 'RB', 25.1]","['Adam Thielen', 'WR', 4.7]","['Nico Collins', 'WR', 8.5]","['George Kittle', 'TE', 5.2]","['James Robinson', 'RB/WR/TE', 4.9]","['49ers D/ST', 'D/ST', 15.0]","['empty', '', 0.0]","[['Keenan Allen', 'BE', 0.0], ['Aaron Rodgers', 'BE', 16.88], ['Russell Gage', 'BE', 5.0], ['Kirk Cousins', 'BE', 22.24], ['Joshua Palmer', 'BE', 3.9], ['Logan Thomas', 'BE', 0.0], ['Tyler Allgeier', 'BE', 4.5]]"
8,Worth Least,Seven Round Mock Draught,5,3,Home,Lager,3,2,0,(3-2-0),636.74,636.74,139.26,-2.0200000000000102,"['Josh Allen', 'QB', 35.16]","['Alvin Kamara', 'RB', 20.4]","['Josh Jacobs', 'RB', 27.8]","['Davante Adams', 'WR', 25.9]","['Mike Evans', 'WR', 10.1]","['T.J. Hockenson', 'TE', 1.1]","['Corey Davis', 'RB/WR/TE', 4.8]","['Vikings D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['Michael Thomas', 'BE', 0.0], ['Kenneth Walker III', 'BE', 14.8], ['Chase Edmonds', 'BE', 0.1], ['Buccaneers D/ST', 'BE', 8.0], ['Marquez Valdes-Scantling', 'BE', 12.0], ['Darrell Henderson Jr.', 'BE', 5.0], ['Devin Duvernay', 'BE', 10.3]]"
17,David Claiborne,Case of Rogue Dead Guys,5,3,Away,Lager,2,3,0,(2-3-0),574.92,574.92,141.28,2.0200000000000102,"['Patrick Mahomes', 'QB', 30.48]","['Raheem Mostert', 'RB', 18.7]","['Jeff Wilson Jr.', 'RB', 19.7]","['Cooper Kupp', 'WR', 22.4]","['Marquise Brown', 'WR', 17.8]","['Darren Waller', 'TE', 0.0]","['Curtis Samuel', 'RB/WR/TE', 9.2]","['Broncos D/ST', 'D/ST', 13.0]","['empty', '', 0.0]","[['Ezekiel Elliott', 'BE', 7.8], ['Elijah Mitchell', 'BE', 0.0], ['Antonio Gibson', 'BE', 5.4], ['Jarvis Landry', 'BE', 0.0], ['Robbie Anderson', 'BE', 3.7], ['Richie James', 'BE', 2.6], ['Mike Boone', 'BE', 10.0]]"
7,No Fear,Ice Cold Coorsdarrelle,5,4,Home,Lager,3,2,0,(3-2-0),600.3,600.3,122.12,42.68000000000001,"['Geno Smith', 'QB', 24.02]","['Derrick Henry', 'RB', 26.2]","['James Conner', 'RB', 6.8]","['Deebo Samuel', 'WR', 10.2]","['DeVonta Smith', 'WR', 13.7]","['Dallas Goedert', 'TE', 13.5]","['Damien Harris', 'RB/WR/TE', 1.7]","['Bills D/ST', 'D/ST', 10.0]","['empty', '', 0.0]","[['Dak Prescott', 'BE', 0.0], ['Jerry Jeudy', 'BE', 6.8], ['Cordarrelle Patterson', 'BE', 0.0], ['DeAndre Hopkins', 'BE', 0.0], ['Melvin Gordon III', 'BE', 11.8], ['Pat Freiermuth', 'BE', 2.2], ['Alexander Mattison', 'BE', 5.5]]"
10,Zack Alexander,Russel Wilson Rauchbier,5,4,Away,Lager,1,4,0,(1-4-0),435.76,435.76,79.44,-42.68000000000001,"['Derek Carr', 'QB', 17.94]","['Travis Etienne Jr.', 'RB', 12.9]","['Dameon Pierce', 'RB', 18.8]","['Garrett Wilson', 'WR', 4.2]","['Allen Lazard', 'WR', 11.5]","['Tyler Higbee', 'TE', 8.1]","['Tee Higgins', 'RB/WR/TE', 0.0]","['Titans D/ST', 'D/ST', 5.0]","['empty', '', 0.0]","[['Jonathan Taylor', 'BE', 0.0], ['DJ Moore', 'BE', 8.7], ['Isiah Pacheco', 'BE', 0.0], ['Jahan Dotson', 'BE', 0.0], ['Khalil Herbert', 'BE', 1.1], ['Zay Jones', 'BE', 2.7], ['Tyler Conklin', 'BE', 0.0]]"
12,James G,Trappist Freiermuth 88,5,5,Home,Lager,4,1,0,(4-1-0),641.9599999999999,641.9599999999999,138.16,63.34,"['Jalen Hurts', 'QB', 27.66]","['Saquon Barkley', 'RB', 18.1]","['Nyheim Hines', 'RB', 1.3]","['Gabe Davis', 'WR', 30.6]","['Christian Kirk', 'WR', 1.6]","['Mark Andrews', 'TE', 18.9]","['Travis Kelce', 'RB/WR/TE', 30.0]","['Packers D/ST', 'D/ST', 3.0]","['empty', '', 0.0]","[[""D'Andre Swift"", 'BE', 0.0], ['Rachaad White', 'BE', 5.7], ['Jakobi Meyers', 'BE', 20.6], ['Michael Gallup', 'BE', 6.4], [""Wan'Dale Robinson"", 'BE', 0.0], ['Rex Burkhead', 'BE', 3.8], ['Latavius Murray', 'BE', 0.0]]"
21,Thomas G,Barrel-aged Tom Brady,5,5,Away,Lager,2,3,0,(2-3-0),455.09999999999997,455.09999999999997,74.82,-63.34,"['Justin Herbert', 'QB', 14.42]","['David Montgomery', 'RB', 16.2]","['Devin Singletary', 'RB', 5.1]","['Tyreek Hill', 'WR', 9.5]","['Brandin Cooks', 'WR', 4.0]","['David Njoku', 'TE', 11.8]","['Jaylen Waddle', 'RB/WR/TE', 3.8]","['Saints D/ST', 'D/ST', 4.0]","['empty', '', 0.0]","[['Cam Akers', 'BE', 3.3], ['Terry McLaurin', 'BE', 10.1], ['Kyle Pitts', 'BE', 0.0], ['Hunter Renfrow', 'BE', 4.5], ['Rashaad Penny', 'BE', 5.4], ['Michael Carter', 'BE', 16.3], ['Marcus Mariota', 'BE', 17.98]]"
