,Team ID,Week,Matchup_ID,Home/Away,Total pts,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,HC
The Brussell Wilson Sprouts,11,8,3,Home,148.44,"['Patrick Mahomes', 'QB', 36.64]","['James Conner', 'RB', 13.5]","['Damien Harris', 'RB', 16.2]","['Tyreek Hill', 'WR', 23.8]","['Tyler Boyd', 'WR', 16.6]","['Travis Kelce', 'TE', 20.9]","['Travis Fulgham', 'RB/WR/TE', 16.8]","['Patriots D/ST', 'D/ST', 3.0]","['Saints Coach', 'HC', 1.0]"
RIGGED PLAYOFFS!!,1,8,3,Away,67.92,"['Tua Tagovailoa', 'QB', 5.72]","['Jonathan Taylor', 'RB', 4.1]","['Jamaal Williams', 'RB', 15.2]","['Julio Jones', 'WR', 17.2]","['Justin Jefferson', 'WR', 4.1]","['T.J. Hockenson', 'TE', 10.0]","['Ronald Jones II', 'RB/WR/TE', 4.6]","['Browns D/ST', 'D/ST', 3.0]","['Seahawks Coach', 'HC', 4.0]"
Tub Girl's Tub Scrubbers,5,8,4,Home,102.14,"['Matt Ryan', 'QB', 17.94]","['Dalvin Cook', 'RB', 47.6]","['Boston Scott', 'RB', 8.9]","['DeVante Parker', 'WR', 6.8]","['Diontae Johnson', 'WR', 1.1]","['Darren Waller', 'TE', 5.2]","['Latavius Murray', 'RB/WR/TE', 4.6]","['Chiefs D/ST', 'D/ST', 10.0]","['Titans Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,8,4,Away,120.34,"['Russell Wilson', 'QB', 28.74]","['Malcolm Brown', 'RB', 6.7]","[""La'Mical Perine"", 'RB', 4.3]","['DK Metcalf', 'WR', 34.1]","['Cole Beasley', 'WR', 3.4]","['Eric Ebron', 'TE', 12.8]","['Robby Anderson', 'RB/WR/TE', 7.3]","['Eagles D/ST', 'D/ST', 23.0]","['Panthers Coach', 'HC', 0.0]"
Thigpen's Awakening ᴿᴰ,8,8,5,Home,63.04,"['Teddy Bridgewater', 'QB', 12.04]","['Ezekiel Elliott', 'RB', 7.8]","['Kareem Hunt', 'RB', 8.3]","['Calvin Ridley', 'WR', 5.7]","['Kenny Golladay', 'WR', 0.0]","['Jonnu Smith', 'TE', 3.9]","['Giovani Bernard', 'RB/WR/TE', 21.3]","['Bills D/ST', 'D/ST', 4.0]","['Rams Coach', 'HC', 0.0]"
Attorney Generals,6,8,5,Away,71.22,"['Carson Wentz', 'QB', 8.62]","['Darrell Henderson Jr.', 'RB', 6.3]","['Myles Gaskin', 'RB', 11.8]","['Adam Thielen', 'WR', 4.2]","['DJ Moore', 'WR', 6.5]","['Mark Andrews', 'TE', 4.7]","['Brandon Aiyuk', 'RB/WR/TE', 19.1]","['Titans D/ST', 'D/ST', 0.0]","['Chiefs Coach', 'HC', 10.0]"
Attorney Generals,6,9,0,Home,76.8,"['Derek Carr', 'QB', 14.0]","['Justin Jackson', 'RB', 0.0]","['Wayne Gallman', 'RB', 14.2]","['Adam Thielen', 'WR', 4.8]","['DJ Moore', 'WR', 2.8]","['Mark Andrews', 'TE', 3.7]","['Curtis Samuel', 'RB/WR/TE', 22.3]","['Titans D/ST', 'D/ST', 14.0]","['Chiefs Coach', 'HC', 1.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,9,0,Away,78.26,"['Cam Newton', 'QB', 24.56]","['J.K. Dobbins', 'RB', 4.5]","['JaMycal Hasty', 'RB', 2.3]","['Allen Robinson II', 'WR', 11.6]","['Tyler Lockett', 'WR', 6.0]","['Noah Fant', 'TE', 6.0]","['Chase Claypool', 'RB/WR/TE', 11.3]","['Packers D/ST', 'D/ST', 6.0]","['Packers Coach', 'HC', 6.0]"
Inhumane Texan Koch’n,9,9,1,Home,106.7,"['Josh Allen', 'QB', 36.0]","['Alvin Kamara', 'RB', 13.4]","['Clyde Edwards-Helaire', 'RB', 10.9]","['Davante Adams', 'WR', 28.3]","['Mike Williams', 'WR', 10.6]","['Rob Gronkowski', 'TE', 0.7]","[""Le'Veon Bell"", 'RB/WR/TE', 0.8]","['Washington D/ST', 'D/ST', 5.0]","['Texans Coach', 'HC', 1.0]"
RIGGED PLAYOFFS!!,1,9,1,Away,99.94,"['Ben Roethlisberger', 'QB', 25.04]","['Leonard Fournette', 'RB', 7.1]","['Todd Gurley II', 'RB', 12.5]","['Julio Jones', 'WR', 13.9]","['Justin Jefferson', 'WR', 7.9]","['Mike Gesicki', 'TE', 5.7]","['Brandin Cooks', 'RB/WR/TE', 15.8]","['Giants D/ST', 'D/ST', 12.0]","['Seahawks Coach', 'HC', 0.0]"
The Brussell Wilson Sprouts,11,9,2,Home,106.48,"['Patrick Mahomes', 'QB', 31.48]","['James Conner', 'RB', 3.0]","['Damien Harris', 'RB', 7.1]","['Tyreek Hill', 'WR', 28.6]","['Randall Cobb', 'WR', 3.6]","['Travis Kelce', 'TE', 20.9]","['Darnell Mooney', 'RB/WR/TE', 6.8]","['Patriots D/ST', 'D/ST', 3.0]","['Steelers Coach', 'HC', 2.0]"
Big Maliggy Style,2,9,2,Away,101.14,"['Justin Herbert', 'QB', 23.44]","['Devin Singletary', 'RB', 4.9]","['Antonio Gibson', 'RB', 11.0]","['Keenan Allen', 'WR', 20.8]","['Stefon Diggs', 'WR', 16.3]","['T.J. Hockenson', 'TE', 12.4]","['Ronald Jones II', 'RB/WR/TE', 3.3]","['Dolphins D/ST', 'D/ST', 9.0]","['Buccaneers Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,9,3,Home,103.92,"['Drew Lock', 'QB', 29.22]","[""D'Andre Swift"", 'RB', 11.2]","['David Montgomery', 'RB', 3.7]","['A.J. Brown', 'WR', 18.1]","['Mike Evans', 'WR', 8.4]","['Jimmy Graham', 'TE', 14.5]","['Marvin Jones Jr.', 'RB/WR/TE', 11.8]","['Seahawks D/ST', 'D/ST', 7.0]","['Chargers Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,9,3,Away,133.4,"['Russell Wilson', 'QB', 22.1]","['Christian McCaffrey', 'RB', 32.1]","['James Robinson', 'RB', 15.9]","['DK Metcalf', 'WR', 20.3]","['Will Fuller V', 'WR', 18.5]","['Eric Ebron', 'TE', 9.7]","['Robby Anderson', 'RB/WR/TE', 10.8]","['Texans D/ST', 'D/ST', 4.0]","['Cardinals Coach', 'HC', 0.0]"
Tub Girl's Tub Scrubbers,5,9,4,Home,108.66,"['Matt Ryan', 'QB', 22.36]","['Dalvin Cook', 'RB', 38.2]","['Joshua Kelley', 'RB', 8.4]","['DeAndre Hopkins', 'WR', 4.5]","['Diontae Johnson', 'WR', 11.1]","['Darren Waller', 'TE', 10.7]","['DeVante Parker', 'RB/WR/TE', 9.4]","['Chiefs D/ST', 'D/ST', 2.0]","['Titans Coach', 'HC', 2.0]"
 JNCO JEAN GENIE ,3,9,4,Away,89.64,"['Deshaun Watson', 'QB', 24.24]","['Melvin Gordon III', 'RB', 3.2]","['Josh Jacobs', 'RB', 13.3]","['Terry McLaurin', 'WR', 21.0]","['Corey Davis', 'WR', 0.0]","['Evan Engram', 'TE', 13.3]","['Chris Godwin', 'RB/WR/TE', 5.6]","['Bears D/ST', 'D/ST', 5.0]","['Ravens Coach', 'HC', 4.0]"
Dumpster Juice,12,9,5,Home,39.56,"['Tom Brady', 'QB', 2.36]","['David Johnson', 'RB', 1.6]","['Derrick Henry', 'RB', 6.8]","['John Brown', 'WR', 13.9]","['Antonio Brown', 'WR', 4.6]","['Jared Cook', 'TE', 2.0]","['Darius Slayton', 'RB/WR/TE', 1.3]","['Steelers D/ST', 'D/ST', 6.0]","['Patriots Coach', 'HC', 1.0]"
Thigpen's Awakening ᴿᴰ,8,9,5,Away,99.22,"['Kyler Murray', 'QB', 37.92]","['Chase Edmonds', 'RB', 10.3]","['DeeJay Dallas', 'RB', 10.9]","['JuJu Smith-Schuster', 'WR', 18.3]","['Marquise Brown', 'WR', 5.3]","['Jordan Reed', 'TE', 0.8]","['Sterling Shepard', 'RB/WR/TE', 8.7]","['Cardinals D/ST', 'D/ST', 3.0]","['Vikings Coach', 'HC', 4.0]"
The Brussell Wilson Sprouts,11,10,0,Home,54.24,"['Drew Brees', 'QB', 6.94]","['James Conner', 'RB', 5.8]","['Damien Harris', 'RB', 12.1]","['Tyler Boyd', 'WR', 7.1]","['Travis Fulgham', 'WR', 1.3]","['Jordan Reed', 'TE', 8.7]","['Darnell Mooney', 'RB/WR/TE', 1.3]","['Ravens D/ST', 'D/ST', 1.0]","['Steelers Coach', 'HC', 10.0]"
Landslide lets  Russell Cook ,4,10,0,Away,63.72,"['Russell Wilson', 'QB', 9.92]","['Nick Chubb', 'RB', 18.6]","['James Robinson', 'RB', 12.2]","['DK Metcalf', 'WR', 3.8]","['Robby Anderson', 'WR', 4.1]","['Eric Ebron', 'TE', 4.8]","['Will Fuller V', 'RB/WR/TE', 6.3]","['Eagles D/ST', 'D/ST', 3.0]","['Cardinals Coach', 'HC', 1.0]"
Inhumane Texan Koch’n,9,10,1,Home,109.86,"['Josh Allen', 'QB', 26.86]","['Alvin Kamara', 'RB', 31.3]","['Phillip Lindsay', 'RB', 0.2]","['Davante Adams', 'WR', 14.6]","['Tee Higgins', 'WR', 19.0]","['Rob Gronkowski', 'TE', 12.1]","['Mike Williams', 'RB/WR/TE', 4.8]","['Washington D/ST', 'D/ST', 1.0]","['Eagles Coach', 'HC', 0.0]"
Dumpster Juice,12,10,1,Away,94.84,"['Tom Brady', 'QB', 31.84]","['Derrick Henry', 'RB', 11.4]","['James White', 'RB', 1.8]","['Cooper Kupp', 'WR', 7.5]","['Antonio Brown', 'WR', 10.1]","['Hunter Henry', 'TE', 11.0]","['John Brown', 'RB/WR/TE', 10.2]","['Steelers D/ST', 'D/ST', 11.0]","['Bills Coach', 'HC', 0.0]"
 JNCO JEAN GENIE ,3,10,2,Home,92.12,"['Deshaun Watson', 'QB', 14.12]","['Mike Davis', 'RB', 6.4]","['Josh Jacobs', 'RB', 27.6]","['Chris Godwin', 'WR', 12.2]","['Terry McLaurin', 'WR', 13.7]","['Evan Engram', 'TE', 2.5]","['Melvin Gordon III', 'RB/WR/TE', 4.6]","['Bears D/ST', 'D/ST', 11.0]","['Ravens Coach', 'HC', 0.0]"
Attorney Generals,6,10,2,Away,89.66,"['Derek Carr', 'QB', 7.16]","['Aaron Jones', 'RB', 12.0]","['Kalen Ballage', 'RB', 12.7]","['Adam Thielen', 'WR', 18.3]","['Brandon Aiyuk', 'WR', 16.2]","['Mark Andrews', 'TE', 9.6]","['Curtis Samuel', 'RB/WR/TE', 2.7]","['Titans D/ST', 'D/ST', 1.0]","['Raiders Coach', 'HC', 10.0]"
Sausage Brainᴿᴰ,7,10,3,Home,87.18,"['Jared Goff', 'QB', 10.48]","['Kenyan Drake', 'RB', 9.4]","[""D'Andre Swift"", 'RB', 23.4]","['A.J. Brown', 'WR', 2.6]","['Mike Evans', 'WR', 16.7]","['Jimmy Graham', 'TE', 0.0]","['DJ Chark Jr.', 'RB/WR/TE', 7.6]","['Saints D/ST', 'D/ST', 15.0]","['Dolphins Coach', 'HC', 2.0]"
Tub Girl's Tub Scrubbers,5,10,3,Away,101.74,"['Teddy Bridgewater', 'QB', 19.04]","['Dalvin Cook', 'RB', 13.2]","['Duke Johnson', 'RB', 5.4]","['DeAndre Hopkins', 'WR', 22.2]","['Diontae Johnson', 'WR', 20.6]","['Darren Waller', 'TE', 5.2]","['DeVante Parker', 'RB/WR/TE', 4.1]","['Colts D/ST', 'D/ST', 12.0]","['Titans Coach', 'HC', 0.0]"
RIGGED PLAYOFFS!!,1,10,4,Home,60.46,"['Tua Tagovailoa', 'QB', 14.66]","['Leonard Fournette', 'RB', 4.0]","['Jonathan Taylor', 'RB', 4.7]","['Michael Thomas', 'WR', 3.7]","['Brandin Cooks', 'WR', 6.9]","['Mike Gesicki', 'TE', 5.0]","['Justin Jefferson', 'RB/WR/TE', 17.5]","['Giants D/ST', 'D/ST', 4.0]","['Seahawks Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,10,4,Away,81.42,"['Cam Newton', 'QB', 16.82]","['Miles Sanders', 'RB', 12.5]","['Jerick McKinnon', 'RB', 5.1]","['Tyler Lockett', 'WR', 9.1]","['Chase Claypool', 'WR', 19.3]","['Noah Fant', 'TE', 3.3]","['Allen Robinson II', 'RB/WR/TE', 7.3]","['Packers D/ST', 'D/ST', 7.0]","['Packers Coach', 'HC', 1.0]"
Big Maliggy Style,2,10,5,Home,98.58,"['Justin Herbert', 'QB', 20.48]","['Devin Singletary', 'RB', 1.5]","['Antonio Gibson', 'RB', 20.5]","['Keenan Allen', 'WR', 11.4]","['Stefon Diggs', 'WR', 20.3]","['T.J. Hockenson', 'TE', 2.3]","['Robert Woods', 'RB/WR/TE', 6.1]","['Buccaneers D/ST', 'D/ST', 8.0]","['Buccaneers Coach', 'HC', 8.0]"
Thigpen's Awakening ᴿᴰ,8,10,5,Away,108.9,"['Kyler Murray', 'QB', 29.9]","['Kareem Hunt', 'RB', 14.7]","['Giovani Bernard', 'RB', 6.7]","['JuJu Smith-Schuster', 'WR', 18.2]","['Sterling Shepard', 'WR', 7.7]","['Jonnu Smith', 'TE', 8.5]","['Chase Edmonds', 'RB/WR/TE', 9.2]","['Vikings D/ST', 'D/ST', 12.0]","['Vikings Coach', 'HC', 2.0]"
Big Maliggy Style,2,11,0,Home,117.74,"['Justin Herbert', 'QB', 27.74]","['Antonio Gibson', 'RB', 16.9]","['Ronald Jones II', 'RB', 2.4]","['Robert Woods', 'WR', 24.6]","['Keenan Allen', 'WR', 26.5]","['T.J. Hockenson', 'TE', 8.8]","['Nyheim Hines', 'RB/WR/TE', 6.8]","['Dolphins D/ST', 'D/ST', 4.0]","['Buccaneers Coach', 'HC', 0.0]"
Dumpster Juice,12,11,0,Away,110.14,"['Tom Brady', 'QB', 12.64]","['Derrick Henry', 'RB', 19.7]","['Kerryon Johnson', 'RB', 4.8]","['Cooper Kupp', 'WR', 20.0]","['Antonio Brown', 'WR', 9.8]","['Hunter Henry', 'TE', 12.8]","['Tim Patrick', 'RB/WR/TE', 14.4]","['Steelers D/ST', 'D/ST', 16.0]","['Lions Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,11,1,Home,72.52,"['Joe Burrow', 'QB', 11.32]","['Kenyan Drake', 'RB', 14.0]","['Adrian Peterson', 'RB', 1.8]","['DJ Chark Jr.', 'WR', 6.1]","['Marvin Jones Jr.', 'WR', 7.1]","['Logan Thomas', 'TE', 1.8]","['Mike Evans', 'RB/WR/TE', 13.4]","['Saints D/ST', 'D/ST', 17.0]","['Dolphins Coach', 'HC', 0.0]"
RIGGED PLAYOFFS!!,1,11,1,Away,90.98,"['Ben Roethlisberger', 'QB', 16.68]","['Leonard Fournette', 'RB', 9.1]","['Todd Gurley II', 'RB', 3.4]","['Julio Jones', 'WR', 4.9]","['Brandin Cooks', 'WR', 10.5]","['Mike Gesicki', 'TE', 6.3]","['Justin Jefferson', 'RB/WR/TE', 16.1]","['Browns D/ST', 'D/ST', 22.0]","['Seahawks Coach', 'HC', 2.0]"
Tub Girl's Tub Scrubbers,5,11,2,Home,90.88,"['Matt Ryan', 'QB', 5.28]","['Dalvin Cook', 'RB', 22.5]","['Duke Johnson', 'RB', 5.0]","['DeAndre Hopkins', 'WR', 7.6]","['Diontae Johnson', 'WR', 17.1]","['Darren Waller', 'TE', 18.3]","['Jamison Crowder', 'RB/WR/TE', 2.1]","['Broncos D/ST', 'D/ST', 13.0]","['Patriots Coach', 'HC', 0.0]"
Inhumane Texan Koch’n,9,11,2,Away,96.22,"['Matthew Stafford', 'QB', 7.62]","['Alvin Kamara', 'RB', 10.5]","['Clyde Edwards-Helaire', 'RB', 20.2]","['Davante Adams', 'WR', 20.1]","['Tee Higgins', 'WR', 4.1]","['Rob Gronkowski', 'TE', 3.5]","['Mike Williams', 'RB/WR/TE', 15.2]","['Washington D/ST', 'D/ST', 13.0]","['Chargers Coach', 'HC', 2.0]"
Attorney Generals,6,11,3,Home,140.68,"['Kirk Cousins', 'QB', 22.96]","['Aaron Jones', 'RB', 15.1]","['Kalen Ballage', 'RB', 10.6]","['Adam Thielen', 'WR', 28.3]","['Curtis Samuel', 'WR', 17.4]","['Mark Andrews', 'TE', 18.1]","['Taysom Hill', 'RB/WR/TE', 24.22]","['Titans D/ST', 'D/ST', 3.0]","['Chiefs Coach', 'HC', 1.0]"
The Brussell Wilson Sprouts,11,11,3,Away,112.38,"['Patrick Mahomes', 'QB', 21.52]","['James Conner', 'RB', 11.4]","['Damien Harris', 'RB', 11.9]","['Tyreek Hill', 'WR', 21.5]","['Tyler Boyd', 'WR', 13.0]","['Travis Kelce', 'TE', 22.86]","['Rex Burkhead', 'RB/WR/TE', 2.2]","['Patriots D/ST', 'D/ST', 0.0]","['Steelers Coach', 'HC', 8.0]"
 JNCO JEAN GENIE ,3,11,4,Home,101.64,"['Aaron Rodgers', 'QB', 21.74]","['Mike Davis', 'RB', 14.9]","['Josh Jacobs', 'RB', 12.9]","['Chris Godwin', 'WR', 14.8]","['Terry McLaurin', 'WR', 10.9]","['Greg Olsen', 'TE', 3.0]","['Melvin Gordon III', 'RB/WR/TE', 18.4]","['Packers D/ST', 'D/ST', 5.0]","['Ravens Coach', 'HC', 0.0]"
Thigpen's Awakening ᴿᴰ,8,11,4,Away,75.16,"['Kyler Murray', 'QB', 20.26]","['Ezekiel Elliott', 'RB', 18.4]","['Kareem Hunt', 'RB', 8.6]","['JuJu Smith-Schuster', 'WR', 3.9]","['Calvin Ridley', 'WR', 11.5]","['Hayden Hurst', 'TE', 0.0]","['Giovani Bernard', 'RB/WR/TE', 7.5]","['Vikings D/ST', 'D/ST', 5.0]","['Vikings Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,11,5,Home,106.58,"['Russell Wilson', 'QB', 20.08]","['Nick Chubb', 'RB', 11.4]","['James Robinson', 'RB', 10.4]","['DK Metcalf', 'WR', 12.1]","['Christian Kirk', 'WR', 7.0]","['Eric Ebron', 'TE', 11.6]","['Will Fuller V', 'RB/WR/TE', 11.0]","['Panthers D/ST', 'D/ST', 15.0]","['Panthers Coach', 'HC', 8.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,11,5,Away,99.2,"['Cam Newton', 'QB', 19.2]","['Miles Sanders', 'RB', 7.6]","['J.K. Dobbins', 'RB', 17.5]","['Tyler Lockett', 'WR', 17.2]","['Chase Claypool', 'WR', 13.9]","['Noah Fant', 'TE', 7.5]","['Jakobi Meyers', 'RB/WR/TE', 5.3]","['Chargers D/ST', 'D/ST', 11.0]","['Packers Coach', 'HC', 0.0]"
Big Maliggy Style,2,12,0,Home,125.44,"['Justin Herbert', 'QB', 16.44]","['Antonio Gibson', 'RB', 34.1]","['Ronald Jones II', 'RB', 16.8]","['Robert Woods', 'WR', 12.3]","['Keenan Allen', 'WR', 14.0]","['T.J. Hockenson', 'TE', 11.4]","['Stefon Diggs', 'RB/WR/TE', 7.4]","['Dolphins D/ST', 'D/ST', 13.0]","['Buccaneers Coach', 'HC', 0.0]"
RIGGED PLAYOFFS!!,1,12,0,Away,83.08,"['Ryan Fitzpatrick', 'QB', 19.28]","['Leonard Fournette', 'RB', 3.5]","['Jordan Wilkins', 'RB', 7.2]","['Michael Thomas', 'WR', 7.1]","['Brandin Cooks', 'WR', 11.0]","['Mike Gesicki', 'TE', 10.5]","['Justin Jefferson', 'RB/WR/TE', 22.5]","['Browns D/ST', 'D/ST', 0.0]","['Seahawks Coach', 'HC', 2.0]"
 JNCO JEAN GENIE ,3,12,1,Home,108.82,"['Deshaun Watson', 'QB', 33.12]","['Mike Davis', 'RB', 9.4]","['Josh Jacobs', 'RB', 3.9]","['Chris Godwin', 'WR', 13.7]","['Terry McLaurin', 'WR', 12.7]","['Evan Engram', 'TE', 13.9]","['Melvin Gordon III', 'RB/WR/TE', 3.1]","['Packers D/ST', 'D/ST', 15.0]","['Bills Coach', 'HC', 4.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,12,1,Away,82.86,"['Cam Newton', 'QB', 3.96]","['Zack Moss', 'RB', 7.8]","['Brian Hill', 'RB', 5.5]","['Allen Robinson II', 'WR', 23.4]","['Tyler Lockett', 'WR', 3.8]","['Robert Tonyan', 'TE', 15.2]","['Miles Sanders', 'RB/WR/TE', 5.2]","['Giants D/ST', 'D/ST', 12.0]","['Packers Coach', 'HC', 6.0]"
Attorney Generals,6,12,2,Home,89.12,"['Taysom Hill', 'QB', 17.52]","['Aaron Jones', 'RB', 9.5]","['Wayne Gallman', 'RB', 16.6]","['T.Y. Hilton', 'WR', 16.1]","['Curtis Samuel', 'WR', 10.2]","['Austin Hooper', 'TE', 8.3]","['Darrell Henderson Jr.', 'RB/WR/TE', 1.9]","['Bengals D/ST', 'D/ST', 8.0]","['Chiefs Coach', 'HC', 1.0]"
Tub Girl's Tub Scrubbers,5,12,2,Away,85.2,"['Matt Ryan', 'QB', 13.9]","['Dalvin Cook', 'RB', 8.2]","['Duke Johnson', 'RB', 15.5]","['DeAndre Hopkins', 'WR', 8.0]","['DeVante Parker', 'WR', 15.9]","['Darren Waller', 'TE', 4.3]","['Austin Ekeler', 'RB/WR/TE', 18.4]","['Colts D/ST', 'D/ST', 1.0]","['Rams Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,12,3,Home,115.64,"['Jared Goff', 'QB', 3.02]","['Kenyan Drake', 'RB', 22.8]","['David Montgomery', 'RB', 22.8]","['Marvin Jones Jr.', 'WR', 7.8]","['Mike Evans', 'WR', 18.5]","['Logan Thomas', 'TE', 11.42]","['Raheem Mostert', 'RB/WR/TE', 9.3]","['Saints D/ST', 'D/ST', 14.0]","['Dolphins Coach', 'HC', 6.0]"
Dumpster Juice,12,12,3,Away,108.2,"['Tom Brady', 'QB', 21.7]","['Derrick Henry', 'RB', 37.5]","['Kerryon Johnson', 'RB', 9.8]","['Cooper Kupp', 'WR', 5.1]","['Antonio Brown', 'WR', 2.1]","['Hunter Henry', 'TE', 10.2]","['Sammy Watkins', 'RB/WR/TE', 5.8]","['Steelers D/ST', 'D/ST', 16.0]","['Lions Coach', 'HC', 0.0]"
Thigpen's Awakening ᴿᴰ,8,12,4,Home,67.2,"['Kyler Murray', 'QB', 7.9]","['Ezekiel Elliott', 'RB', 2.4]","['Kareem Hunt', 'RB', 6.2]","['Calvin Ridley', 'WR', 14.0]","['DJ Moore', 'WR', 8.1]","['Hayden Hurst', 'TE', 6.8]","['Benny Snell Jr.', 'RB/WR/TE', 10.8]","['Seahawks D/ST', 'D/ST', 11.0]","['Colts Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,12,4,Away,151.0,"['Russell Wilson', 'QB', 14.4]","['Nick Chubb', 'RB', 25.1]","['James Robinson', 'RB', 24.4]","['DK Metcalf', 'WR', 22.7]","['Will Fuller V', 'WR', 32.1]","['Eric Ebron', 'TE', 8.9]","['Robby Anderson', 'RB/WR/TE', 17.4]","['Bills D/ST', 'D/ST', 6.0]","['Cardinals Coach', 'HC', 0.0]"
Inhumane Texan Koch’n,9,12,5,Home,92.68,"['Josh Allen', 'QB', 15.48]","['Alvin Kamara', 'RB', 5.7]","['Clyde Edwards-Helaire', 'RB', 4.4]","['Davante Adams', 'WR', 15.1]","['Tee Higgins', 'WR', 12.9]","['Dallas Goedert', 'TE', 17.0]","['Mike Williams', 'RB/WR/TE', 4.1]","['Washington D/ST', 'D/ST', 17.0]","['Browns Coach', 'HC', 1.0]"
The Brussell Wilson Sprouts,11,12,5,Away,146.38,"['Patrick Mahomes', 'QB', 31.28]","['Chris Carson', 'RB', 12.9]","['Damien Harris', 'RB', 4.7]","['Tyreek Hill', 'WR', 51.4]","['Tyler Boyd', 'WR', 3.0]","['Travis Kelce', 'TE', 12.2]","['Keelan Cole Sr.', 'RB/WR/TE', 5.9]","['Rams D/ST', 'D/ST', 15.0]","['Saints Coach', 'HC', 10.0]"
Sausage Brainᴿᴰ,7,13,0,Home,110.94,"['Jared Goff', 'QB', 24.14]","['Raheem Mostert', 'RB', 4.8]","['David Montgomery', 'RB', 25.1]","['A.J. Brown', 'WR', 8.7]","['DJ Chark Jr.', 'WR', 5.1]","['Logan Thomas', 'TE', 20.3]","['Kenyan Drake', 'RB/WR/TE', 12.8]","['Saints D/ST', 'D/ST', 6.0]","['Dolphins Coach', 'HC', 4.0]"
Big Maliggy Style,2,13,0,Away,79.36,"['Justin Herbert', 'QB', 4.36]","['Antonio Gibson', 'RB', 1.4]","['Nyheim Hines', 'RB', 10.7]","['Robert Woods', 'WR', 13.5]","['Keenan Allen', 'WR', 7.3]","['T.J. Hockenson', 'TE', 11.9]","['Stefon Diggs', 'RB/WR/TE', 14.2]","['Dolphins D/ST', 'D/ST', 16.0]","['Buccaneers Coach', 'HC', 0]"
Thigpen's Awakening ᴿᴰ,8,13,1,Home,79.72,"['Kyler Murray', 'QB', 16.42]","['Ezekiel Elliott', 'RB', 11.5]","['Kareem Hunt', 'RB', 7.2]","['Calvin Ridley', 'WR', 13.3]","['Deebo Samuel', 'WR', 10.6]","['Hayden Hurst', 'TE', 1.4]","['JuJu Smith-Schuster', 'RB/WR/TE', 6.3]","['Seahawks D/ST', 'D/ST', 13.0]","['Titans Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,13,1,Away,88.26,"['Ryan Tannehill', 'QB', 27.56]","['Miles Sanders', 'RB', 3.1]","['J.K. Dobbins', 'RB', 13.1]","['Allen Robinson II', 'WR', 10.5]","['Tyler Lockett', 'WR', 9.3]","['Robert Tonyan', 'TE', 11.9]","['Chase Claypool', 'RB/WR/TE', 4.8]","['Bears D/ST', 'D/ST', 4.0]","['Packers Coach', 'HC', 4.0]"
Attorney Generals,6,13,2,Home,115.38,"['Taysom Hill', 'QB', 23.58]","['Aaron Jones', 'RB', 22.3]","['Myles Gaskin', 'RB', 13.1]","['Adam Thielen', 'WR', 17.5]","['Brandon Aiyuk', 'WR', 18.0]","['Austin Hooper', 'TE', 3.4]","['Wayne Gallman', 'RB/WR/TE', 13.5]","['Bengals D/ST', 'D/ST', 2.0]","['Chiefs Coach', 'HC', 2.0]"
Tub Girl's Tub Scrubbers,5,13,2,Away,128.92,"['Matt Ryan', 'QB', 12.92]","['Dalvin Cook', 'RB', 20.9]","['Austin Ekeler', 'RB', 8.8]","['DeAndre Hopkins', 'WR', 15.2]","['Diontae Johnson', 'WR', 17.1]","['Darren Waller', 'TE', 38.5]","['DeVante Parker', 'RB/WR/TE', 5.5]","['Raiders D/ST', 'D/ST', 9.0]","['Raiders Coach', 'HC', 1.0]"
 JNCO JEAN GENIE ,3,13,3,Home,113.7,"['Aaron Rodgers', 'QB', 23.5]","['Melvin Gordon III', 'RB', 14.7]","['Darrell Henderson Jr.', 'RB', 14.4]","['Terry McLaurin', 'WR', 2.4]","['Corey Davis', 'WR', 29.7]","['Evan Engram', 'TE', 5.2]","['Nelson Agholor', 'RB/WR/TE', 5.8]","['Packers D/ST', 'D/ST', 12.0]","['Ravens Coach', 'HC', 6.0]"
Landslide lets  Russell Cook ,4,13,3,Away,90.52,"['Russell Wilson', 'QB', 15.02]","['Nick Chubb', 'RB', 17.1]","['James Robinson', 'RB', 19.8]","['DK Metcalf', 'WR', 10.5]","['Jerry Jeudy', 'WR', 1.0]","['Eric Ebron', 'TE', 10.3]","['J.D. McKissic', 'RB/WR/TE', 12.8]","['Bills D/ST', 'D/ST', 4.0]","['Cardinals Coach', 'HC', 0.0]"
