,Team ID,Week,Matchup_ID,Home/Away,Total pts,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,HC
Big Maliggy Style,2,4,5,Away,132.12,"['Lamar Jackson', 'QB', 25.02]","['Todd Gurley II', 'RB', 18.8]","['Devin Singletary', 'RB', 16.2]","['Robert Woods', 'WR', 6.8]","['Stefon Diggs', 'WR', 14.5]","['George Kittle', 'TE', 32.6]","['Keenan Allen', 'RB/WR/TE', 10.2]","['Buccaneers D/ST', 'D/ST', 6.0]","['Buccaneers Coach', 'HC', 2.0]"
Inhumane Texan Koch’n,9,5,0,Home,83.82,"['Josh Allen', 'QB', 16.32]","['Alvin Kamara', 'RB', 15.9]","['Clyde Edwards-Helaire', 'RB', 9.5]","['Jarvis Landry', 'WR', 10.8]","['Tee Higgins', 'WR', 8.2]","['Rob Gronkowski', 'TE', 6.7]","['Laviska Shenault Jr.', 'RB/WR/TE', 11.4]","['Chiefs D/ST', 'D/ST', 3.0]","['Steelers Coach', 'HC', 2.0]"
Landslide lets  Russell Cook ,4,5,0,Away,103.28,"['Russell Wilson', 'QB', 24.48]","['James Robinson', 'RB', 7.5]","['Malcolm Brown', 'RB', 2.9]","['DK Metcalf', 'WR', 24.3]","['Robby Anderson', 'WR', 15.5]","['Eric Ebron', 'TE', 4.8]","['Will Fuller V', 'RB/WR/TE', 13.8]","['49ers D/ST', 'D/ST', 2.0]","['Cardinals Coach', 'HC', 8.0]"
RIGGED PLAYOFFS!!,1,5,1,Home,91.56,"['Ben Roethlisberger', 'QB', 21.36]","['Jonathan Taylor', 'RB', 14.4]","['Ronald Jones II', 'RB', 14.0]","['Amari Cooper', 'WR', 3.1]","['CeeDee Lamb', 'WR', 16.4]","['Greg Olsen', 'TE', 2.5]","['Justin Jefferson', 'RB/WR/TE', 3.8]","['Browns D/ST', 'D/ST', 15.0]","['Seahawks Coach', 'HC', 1.0]"
Tub Girl's Tub Scrubbers,5,5,1,Away,88.34,"['Matt Ryan', 'QB', 6.94]","['Dalvin Cook', 'RB', 17.4]","['Joshua Kelley', 'RB', 4.3]","['DeAndre Hopkins', 'WR', 22.1]","['DeVante Parker', 'WR', 12.0]","['Darren Waller', 'TE', 13.3]","['Diontae Johnson', 'RB/WR/TE', 0.3]","['Colts D/ST', 'D/ST', 11.0]","['Cowboys Coach', 'HC', 1.0]"
Big Maliggy Style,2,5,2,Home,94.3,"['Lamar Jackson', 'QB', 13.5]","['Todd Gurley II', 'RB', 23.0]","['Devin Singletary', 'RB', 3.8]","['Robert Woods', 'WR', 15.1]","['Stefon Diggs', 'WR', 15.6]","['George Kittle', 'TE', 6.4]","['Keenan Allen', 'RB/WR/TE', 9.9]","['Buccaneers D/ST', 'D/ST', 7.0]","['Buccaneers Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,5,2,Away,77.94,"['Gardner Minshew II', 'QB', 19.84]","['Joe Mixon', 'RB', 12.4]","['Miles Sanders', 'RB', 22.9]","['Allen Robinson II', 'WR', 14.0]","['Tyler Lockett', 'WR', 6.4]","['Logan Thomas', 'TE', 0.9]","['Jerick McKinnon', 'RB/WR/TE', 1.5]","['Bills D/ST', 'D/ST', 0.0]","['Packers Coach', 'HC', 0]"
Dumpster Juice,12,5,3,Home,82.02,"['Tom Brady', 'QB', 14.12]","['David Johnson', 'RB', 11.3]","['Derrick Henry', 'RB', 18.8]","['Cooper Kupp', 'WR', 9.1]","['John Brown', 'WR', 0.0]","['Hunter Henry', 'TE', 10.3]","['Sammy Watkins', 'RB/WR/TE', 9.4]","['Steelers D/ST', 'D/ST', 9.0]","['Bills Coach', 'HC', 0.0]"
 JNCO JEAN GENIE ,3,5,3,Away,97.16,"['Deshaun Watson', 'QB', 24.86]","['Mark Ingram II', 'RB', 5.7]","['Mike Davis', 'RB', 25.4]","['Terry McLaurin', 'WR', 4.1]","['A.J. Green', 'WR', 0.0]","['Evan Engram', 'TE', 9.0]","['Cam Akers', 'RB/WR/TE', 6.1]","['Rams D/ST', 'D/ST', 14.0]","['Ravens Coach', 'HC', 8.0]"
Thigpen's Awakening ᴿᴰ,8,5,4,Home,127.8,"['Kyler Murray', 'QB', 26.3]","['Ezekiel Elliott', 'RB', 23.0]","['Josh Jacobs', 'RB', 21.5]","['JuJu Smith-Schuster', 'WR', 4.8]","['Calvin Ridley', 'WR', 17.6]","['Hayden Hurst', 'TE', 1.8]","['Kareem Hunt', 'RB/WR/TE', 16.8]","['Cardinals D/ST', 'D/ST', 8.0]","['Rams Coach', 'HC', 8.0]"
